student_id,grade,gender,attendance_pct,weekly_study_hours,reading_score,math_score,english_score,science_score,overall_score,performance_band
STU1069,Grade 5,Female,89.7,6.1,81.0,73.1,88.1,73.9,79.0,Proficient
STU1070,Grade 9,Male,77.7,3.8,73.8,55.5,66.6,78.2,68.5,Developing
STU1071,Grade 9,Male,75.2,8.8,67.5,64.9,63.7,82.2,69.6,Developing
STU1072,Grade 9,Male,81.5,3.7,75.3,79.0,75.4,60.5,72.6,Proficient
STU1073,Grade 5,Female,79.6,6.4,94.8,87.1,62.8,73.4,79.5,Proficient
STU1074,Grade 7,Female,75.3,6.0,76.6,65.5,68.6,77.8,72.1,Proficient
STU1075,Grade 9,Male,83.4,8.4,65.7,75.0,71.2,77.0,72.2,Proficient
STU1076,Grade 8,Male,72.7,10.4,81.0,79.1,73.4,74.2,76.9,Proficient
STU1077,Grade 5,Female,99.8,9.7,71.7,82.6,91.8,84.3,82.6,Advanced
STU1078,Grade 5,Male,74.1,8.5,98.0,56.9,86.9,64.5,76.6,Proficient
STU1079,Grade 7,Female,80.8,5.6,91.7,71.9,61.4,62.3,71.8,Proficient
STU1080,Grade 5,Female,82.8,6.6,70.7,51.8,78.9,60.1,65.4,Developing
STU1081,Grade 5,Male,99.5,6.3,62.5,67.8,72.3,76.5,69.8,Developing
STU1082,Grade 9,Male,72.2,6.0,64.8,71.0,64.0,64.4,66.1,Developing
STU1083,Grade 7,Male,87.1,6.1,75.1,76.2,78.2,62.6,73.0,Proficient
STU1084,Grade 9,Female,94.3,6.1,64.5,65.3,68.0,70.4,67.1,Developing
STU1085,Grade 9,Male,83.5,6.0,74.6,65.3,76.7,72.9,72.4,Proficient
STU1086,Grade 7,Male,76.6,9.1,77.0,68.5,82.4,90.0,79.5,Proficient
STU1087,Grade 4,Male,85.1,4.7,74.5,66.4,67.7,75.8,71.1,Proficient
STU1088,Grade 9,Female,98.2,5.4,80.5,72.1,86.8,51.2,72.6,Proficient
STU1089,Grade 8,Female,81.1,3.5,62.6,69.9,57.7,65.5,63.9,Developing
STU1090,Grade 8,Female,97.5,10.1,79.6,76.9,95.2,93.4,86.3,Advanced
STU1091,Grade 5,Female,88.1,5.2,75.7,72.6,57.4,56.6,65.6,Developing
STU1092,Grade 8,Female,95.9,8.5,78.1,82.4,99.0,81.9,85.4,Advanced
STU1093,Grade 5,Female,87.7,8.0,87.3,76.6,74.7,71.7,77.6,Proficient
STU1094,Grade 4,Female,82.1,9.9,81.8,74.6,70.3,86.2,78.2,Proficient
STU1095,Grade 7,Male,99.1,6.5,95.8,76.5,76.6,77.8,81.7,Advanced
STU1096,Grade 7,Male,87.8,4.9,81.3,75.3,63.9,60.0,70.1,Proficient
STU1097,Grade 7,Female,87.3,3.6,81.1,73.3,72.9,63.4,72.7,Proficient
STU1098,Grade 8,Female,92.5,1.0,70.5,78.3,77.6,60.5,71.7,Proficient
STU1099,Grade 4,Male,93.4,7.4,81.8,66.0,70.4,73.0,72.8,Proficient
STU1100,Grade 8,Female,92.5,8.7,96.4,73.4,85.1,86.5,85.4,Advanced
STU1101,Grade 8,Female,75.2,8.0,73.2,56.9,62.0,62.7,63.7,Developing
STU1102,Grade 4,Female,80.9,3.6,74.8,72.5,76.3,72.6,74.1,Proficient
STU1103,Grade 4,Female,80.7,9.3,77.9,72.4,81.5,71.5,75.8,Proficient
STU1104,Grade 4,Male,79.8,5.5,71.1,69.3,79.6,68.7,72.2,Proficient
STU1105,Grade 4,Female,79.0,5.0,62.9,60.9,68.9,66.3,64.8,Developing
STU1106,Grade 7,Male,80.6,5.4,67.5,64.7,67.6,66.7,66.6,Developing
STU1107,Grade 6,Male,88.7,7.2,71.4,84.3,83.2,72.3,77.8,Proficient
STU1108,Grade 6,Female,90.0,3.7,78.1,73.0,60.3,79.4,72.7,Proficient
STU1109,Grade 4,Female,86.0,6.9,85.9,71.0,61.4,78.8,74.3,Proficient
STU1110,Grade 6,Female,82.6,7.9,77.5,80.1,76.2,69.0,75.7,Proficient
STU1111,Grade 6,Male,96.2,9.4,86.7,87.0,79.8,93.1,86.6,Advanced
STU1112,Grade 4,Female,85.3,7.4,76.9,69.3,80.5,74.4,75.3,Proficient
STU1113,Grade 6,Female,93.5,4.1,68.5,55.1,81.1,71.1,68.9,Developing
STU1114,Grade 8,Male,81.4,7.3,83.8,63.6,79.1,63.2,72.4,Proficient
STU1115,Grade 5,Female,89.3,4.7,79.9,56.4,80.4,63.4,70.0,Proficient
STU1116,Grade 5,Female,96.7,4.5,61.6,80.7,76.8,63.5,70.6,Proficient
STU1117,Grade 4,Female,65.1,4.0,64.1,72.6,68.0,60.6,66.3,Developing
STU1118,Grade 7,Female,80.8,2.8,61.9,76.7,65.5,67.7,68.0,Developing
STU1119,Grade 4,Male,90.7,5.8,73.9,52.8,78.4,73.6,69.7,Developing
STU1120,Grade 7,Female,95.7,9.5,79.5,89.4,84.2,93.1,86.6,Advanced
STU1121,Grade 5,Male,87.6,12.0,86.3,98.0,87.5,73.3,86.3,Advanced
STU1122,Grade 4,Female,86.4,5.7,73.0,79.8,72.0,70.1,73.7,Proficient
STU1123,Grade 9,Male,98.9,9.4,82.8,61.1,90.0,68.0,75.5,Proficient
STU1124,Grade 8,Female,96.2,6.1,88.1,89.2,71.2,64.3,78.2,Proficient
STU1125,Grade 6,Female,79.1,3.4,73.9,63.5,66.8,73.9,69.5,Developing
STU1126,Grade 7,Male,86.9,8.5,75.0,73.5,89.1,70.4,77.0,Proficient
STU1127,Grade 9,Male,88.9,7.5,75.0,78.1,69.7,65.9,72.2,Proficient
STU1128,Grade 6,Male,99.7,11.0,92.6,74.5,69.4,63.7,75.0,Proficient
STU1129,Grade 6,Female,92.9,3.6,78.0,67.4,74.4,59.6,69.9,Developing
STU1130,Grade 4,Female,85.2,13.2,83.1,98.0,84.3,81.0,86.6,Advanced
STU1131,Grade 6,Female,87.8,10.5,82.3,85.3,90.4,66.3,81.1,Advanced
STU1132,Grade 8,Male,70.9,7.0,87.9,68.6,70.1,64.7,72.8,Proficient
STU1133,Grade 9,Female,93.7,6.3,74.2,73.8,71.8,83.7,75.9,Proficient
STU1134,Grade 6,Male,91.2,5.4,91.9,59.8,73.6,63.5,72.2,Proficient
STU1135,Grade 4,Female,95.7,7.2,89.8,74.0,87.5,66.1,79.4,Proficient
STU1136,Grade 8,Male,84.8,6.6,90.5,56.4,79.1,60.2,71.6,Proficient
STU1137,Grade 5,Female,87.0,8.1,74.9,84.0,58.4,63.5,70.2,Proficient
STU1138,Grade 9,Male,82.1,6.4,74.1,50.2,74.7,73.9,68.2,Developing
STU1139,Grade 6,Female,76.8,10.1,76.6,83.7,80.4,75.2,79.0,Proficient
STU1140,Grade 4,Female,81.2,7.3,85.7,80.3,74.5,79.2,79.9,Proficient
STU1141,Grade 5,Male,71.4,6.4,67.8,79.0,65.4,84.4,74.2,Proficient
STU1142,Grade 5,Female,93.3,9.3,89.6,79.5,91.3,61.2,80.4,Advanced
STU1143,Grade 7,Female,68.6,3.4,71.8,68.6,74.0,63.1,69.4,Developing
STU1144,Grade 8,Male,100.0,7.8,82.8,76.1,63.3,66.7,72.2,Proficient
STU1145,Grade 6,Male,71.9,7.1,84.0,57.8,65.2,74.6,70.4,Proficient
STU1146,Grade 4,Female,98.0,3.9,76.9,83.0,72.3,66.4,74.6,Proficient
STU1147,Grade 7,Female,78.7,3.2,75.8,61.9,74.3,62.5,68.6,Developing
STU1148,Grade 8,Female,90.5,9.2,78.9,65.2,81.1,65.3,72.6,Proficient
STU1149,Grade 7,Male,80.0,9.1,73.7,70.6,72.1,69.9,71.6,Proficient
STU1150,Grade 9,Female,99.4,7.4,88.2,72.7,85.8,76.7,80.8,Advanced
STU1151,Grade 8,Female,86.3,10.8,87.7,84.0,80.7,90.9,85.8,Advanced
STU1152,Grade 8,Female,94.6,8.0,83.9,97.6,78.8,68.5,82.2,Advanced
STU1153,Grade 6,Female,86.6,9.7,79.8,82.6,80.4,71.8,78.6,Proficient
STU1154,Grade 8,Male,88.8,7.9,92.5,76.7,82.6,82.4,83.6,Advanced
STU1155,Grade 7,Female,90.9,6.4,69.2,94.4,73.4,63.9,75.2,Proficient
STU1156,Grade 8,Male,81.8,4.7,63.1,75.2,75.6,76.1,72.5,Proficient
STU1157,Grade 6,Female,75.8,5.7,79.9,69.1,69.6,65.9,71.1,Proficient
STU1158,Grade 6,Female,75.6,6.4,80.5,64.0,63.0,70.1,69.4,Developing
STU1159,Grade 9,Female,86.4,10.0,85.8,81.2,80.8,80.5,82.1,Advanced
STU1160,Grade 7,Female,82.1,8.7,77.1,74.0,69.3,68.0,72.1,Proficient
STU1161,Grade 5,Male,68.8,7.7,77.8,69.9,72.2,71.5,72.8,Proficient
STU1162,Grade 5,Male,90.1,8.9,96.0,89.0,86.8,69.2,85.2,Advanced
STU1163,Grade 8,Male,76.3,8.2,96.9,67.0,66.2,66.3,74.1,Proficient
STU1164,Grade 9,Male,76.7,7.6,62.6,75.5,76.8,74.9,72.4,Proficient
STU1165,Grade 4,Female,85.7,3.7,68.6,74.1,62.9,67.7,68.3,Developing
STU1166,Grade 8,Male,78.8,9.5,75.9,69.3,79.6,73.5,74.6,Proficient
STU1167,Grade 9,Female,87.0,6.0,89.3,63.1,80.9,58.4,72.9,Proficient
STU1168,Grade 7,Male,100.0,9.4,66.1,79.4,66.9,70.8,70.8,Proficient
STU1169,Grade 7,Female,83.0,9.6,85.3,72.5,70.4,78.0,76.6,Proficient
STU1170,Grade 7,Female,77.5,5.5,70.6,77.4,67.5,72.8,72.1,Proficient
STU1171,Grade 7,Female,87.5,9.1,94.8,67.8,82.2,65.8,77.6,Proficient
STU1172,Grade 7,Female,79.8,6.2,86.5,69.6,71.0,60.6,71.9,Proficient
STU1173,Grade 9,Female,86.2,6.2,79.4,93.6,73.8,71.2,79.5,Proficient
STU1174,Grade 9,Female,88.5,7.6,66.8,77.8,93.6,74.2,78.1,Proficient
STU1175,Grade 6,Male,85.7,7.6,74.1,78.6,66.9,57.9,69.4,Developing
STU1176,Grade 5,Female,86.5,7.1,74.3,83.0,84.9,73.1,78.8,Proficient
STU1177,Grade 7,Female,87.5,4.1,62.6,62.6,67.9,60.8,63.5,Developing
STU1178,Grade 4,Male,98.8,6.7,90.3,65.4,83.2,89.2,82.0,Advanced
STU1179,Grade 9,Male,84.0,12.0,74.0,83.3,99.0,82.6,84.7,Advanced
STU1180,Grade 4,Female,87.0,1.0,83.5,62.9,70.5,64.1,70.2,Proficient
STU1181,Grade 4,Female,92.9,8.9,98.0,63.4,84.0,81.0,81.6,Advanced
STU1182,Grade 4,Male,89.8,9.3,79.7,81.3,93.6,65.9,80.1,Advanced
STU1183,Grade 6,Female,83.1,4.0,74.4,75.1,78.3,82.4,77.6,Proficient
STU1184,Grade 9,Male,93.2,6.0,77.5,63.9,69.4,56.8,66.9,Developing
STU1185,Grade 4,Male,79.0,4.8,79.1,69.9,71.9,72.4,73.3,Proficient
STU1186,Grade 7,Female,84.2,11.1,94.3,87.9,68.6,84.2,83.8,Advanced
STU1187,Grade 8,Female,79.8,9.4,82.0,80.7,73.8,70.0,76.6,Proficient
STU1188,Grade 4,Male,90.6,9.5,87.1,84.7,83.9,83.5,84.8,Advanced
STU1189,Grade 6,Female,95.5,7.3,76.0,73.1,74.0,71.7,73.7,Proficient
STU1190,Grade 9,Male,87.8,9.9,86.6,68.3,83.4,71.3,77.4,Proficient
STU1191,Grade 6,Male,86.6,7.0,79.2,68.3,75.6,75.7,74.7,Proficient
STU1192,Grade 4,Male,79.0,10.0,73.4,71.0,83.2,66.0,73.4,Proficient
STU1193,Grade 9,Male,80.4,6.7,75.3,69.3,69.9,67.2,70.4,Proficient
STU1194,Grade 8,Male,76.5,5.5,69.2,76.5,62.6,60.5,67.2,Developing
STU1195,Grade 4,Male,68.6,11.0,74.4,63.7,89.5,71.1,74.7,Proficient
STU1196,Grade 6,Male,82.9,7.0,67.5,72.6,70.6,74.3,71.2,Proficient
STU1197,Grade 5,Male,83.6,5.0,74.1,58.1,76.6,61.6,67.6,Developing
STU1198,Grade 7,Male,100.0,5.0,72.3,65.3,87.5,69.8,73.7,Proficient
STU1199,Grade 6,Male,98.5,5.0,74.3,76.6,76.9,66.6,73.6,Proficient
STU1200,Grade 9,Female,90.4,8.9,90.8,66.4,73.3,89.2,79.9,Proficient
STU1201,Grade 4,Male,100.0,6.8,86.6,82.2,77.8,78.0,81.2,Advanced
STU1202,Grade 7,Male,97.1,12.1,81.8,73.2,96.0,86.1,84.3,Advanced
STU1203,Grade 4,Male,69.9,9.6,80.1,79.1,77.2,78.0,78.6,Proficient
STU1204,Grade 9,Male,94.5,7.6,82.3,61.7,69.4,69.5,70.7,Proficient
STU1205,Grade 4,Male,91.7,10.1,98.0,74.4,87.5,86.6,86.6,Advanced
STU1206,Grade 5,Female,83.7,5.9,86.2,86.5,79.1,71.8,80.9,Advanced
STU1207,Grade 7,Female,74.7,2.9,55.1,76.4,62.1,46.4,60.0,Developing
STU1208,Grade 7,Female,90.8,4.8,82.3,65.4,77.9,55.7,70.3,Proficient
STU1209,Grade 9,Female,69.4,7.3,83.4,71.9,73.3,62.2,72.7,Proficient
STU1210,Grade 5,Female,85.8,6.5,81.3,82.0,73.0,58.5,73.7,Proficient
STU1211,Grade 6,Male,81.1,8.8,76.6,80.6,67.0,71.3,73.9,Proficient
STU1212,Grade 4,Female,75.9,6.7,93.5,66.5,80.7,58.9,74.9,Proficient
STU1213,Grade 8,Male,95.5,8.6,88.6,71.3,87.3,76.3,80.9,Advanced
STU1214,Grade 4,Female,85.7,10.3,98.0,86.5,86.1,90.3,90.2,Advanced
STU1215,Grade 4,Male,87.4,6.7,88.5,82.2,87.8,70.8,82.3,Advanced
STU1216,Grade 6,Female,93.3,8.2,85.7,92.1,87.4,73.0,84.6,Advanced
STU1217,Grade 4,Female,85.9,3.1,66.5,49.3,74.1,67.5,64.4,Developing
STU1218,Grade 5,Female,89.6,6.7,78.1,61.4,58.4,65.6,65.9,Developing
STU1219,Grade 5,Male,92.5,4.3,73.3,79.0,82.1,75.6,77.5,Proficient
STU1220,Grade 7,Female,90.5,7.3,69.9,60.1,78.1,77.7,71.4,Proficient
STU1221,Grade 9,Male,88.3,7.5,84.5,85.0,79.6,73.4,80.6,Advanced
STU1222,Grade 8,Female,100.0,7.5,95.3,75.1,83.1,77.7,82.8,Advanced
STU1223,Grade 4,Female,95.9,5.9,76.5,68.1,82.7,90.5,79.4,Proficient
STU1224,Grade 4,Male,85.3,12.1,98.0,84.0,93.4,89.3,91.2,Advanced
STU1225,Grade 6,Male,78.7,4.2,58.3,52.6,73.5,83.8,67.0,Developing
STU1226,Grade 9,Female,91.1,4.1,82.7,75.2,75.6,72.0,76.4,Proficient
STU1227,Grade 5,Male,87.7,10.6,97.8,95.2,84.4,65.5,85.7,Advanced
STU1228,Grade 8,Male,99.7,5.5,77.5,80.6,49.9,69.9,69.5,Developing
STU1229,Grade 7,Male,93.9,4.9,75.0,68.0,71.8,54.3,67.3,Developing
STU1230,Grade 5,Female,92.1,12.1,96.5,70.2,78.9,87.5,83.3,Advanced
STU1231,Grade 9,Female,86.1,9.2,85.5,63.1,89.2,82.2,80.0,Advanced
STU1232,Grade 7,Male,79.0,5.7,57.4,55.7,76.1,59.0,62.0,Developing
STU1233,Grade 6,Male,84.4,7.5,71.3,72.6,72.3,65.9,70.5,Proficient
STU1234,Grade 6,Male,89.8,11.3,86.0,82.8,81.5,81.9,83.1,Advanced
STU1235,Grade 4,Female,72.2,8.5,65.2,79.3,71.1,59.6,68.8,Developing
STU1236,Grade 9,Male,95.9,9.8,81.7,64.4,80.2,68.1,73.6,Proficient
STU1237,Grade 8,Male,100.0,8.8,74.2,91.3,71.2,89.8,81.6,Advanced
STU1238,Grade 7,Female,70.4,9.0,73.5,78.4,61.4,71.9,71.3,Proficient
STU1239,Grade 5,Female,74.8,7.1,71.8,66.4,72.7,63.4,68.6,Developing
STU1240,Grade 9,Male,87.8,7.0,81.1,62.1,84.7,56.7,71.1,Proficient
